x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
2.8609,1.2272,0.35561,0.89003,2.8486,0.9204,0.34671,0.94137,-0.16098,2.8394,0.6136,0.3373,0.99272,-0.16098,2.8333,0.6136,0.32737,1.0041,-0.16098,2.8272,0.4602,0.31733,0.99272,0.16535,2.8226,0.4602,0.3074,0.97561,0.16535
2.8747,1.3806,0.364,0.83868,2.8609,1.2272,0.35561,0.89003,-0.2,2.8486,0.9204,0.34671,0.94137,-0.16098,2.8394,0.6136,0.3373,0.99272,-0.16098,2.8333,0.6136,0.32737,1.0041,-0.16098,2.8272,0.4602,0.31733,0.99272,0.16535
2.8916,1.6874,0.37181,0.78163,2.8747,1.3806,0.364,0.83868,-0.2,2.8609,1.2272,0.35561,0.89003,-0.2,2.8486,0.9204,0.34671,0.94137,-0.16098,2.8394,0.6136,0.3373,0.99272,-0.16098,2.8333,0.6136,0.32737,1.0041,-0.16098
2.9115,1.9942,0.37906,0.72457,2.8916,1.6874,0.37181,0.78163,-0.2,2.8747,1.3806,0.364,0.83868,-0.2,2.8609,1.2272,0.35561,0.89003,-0.2,2.8486,0.9204,0.34671,0.94137,-0.16098,2.8394,0.6136,0.3373,0.99272,-0.16098
2.933,2.1476,0.38579,0.67323,2.9115,1.9942,0.37906,0.72457,-0.2,2.8916,1.6874,0.37181,0.78163,-0.2,2.8747,1.3806,0.364,0.83868,-0.2,2.8609,1.2272,0.35561,0.89003,-0.2,2.8486,0.9204,0.34671,0.94137,-0.16098
2.9591,2.6078,0.3919,0.61047,2.933,2.1476,0.38579,0.67323,-0.2,2.9115,1.9942,0.37906,0.72457,-0.2,2.8916,1.6874,0.37181,0.78163,-0.2,2.8747,1.3806,0.364,0.83868,-0.2,2.8609,1.2272,0.35561,0.89003,-0.2
2.9852,2.6078,0.39743,0.55341,2.9591,2.6078,0.3919,0.61047,-0.2,2.933,2.1476,0.38579,0.67323,-0.2,2.9115,1.9942,0.37906,0.72457,-0.2,2.8916,1.6874,0.37181,0.78163,-0.2,2.8747,1.3806,0.364,0.83868,-0.2
3.0143,2.9146,0.40245,0.50207,2.9852,2.6078,0.39743,0.55341,-0.2,2.9591,2.6078,0.3919,0.61047,-0.2,2.933,2.1476,0.38579,0.67323,-0.2,2.9115,1.9942,0.37906,0.72457,-0.2,2.8916,1.6874,0.37181,0.78163,-0.2
3.0465,3.2214,0.4069,0.44501,3.0143,2.9146,0.40245,0.50207,-0.2,2.9852,2.6078,0.39743,0.55341,-0.2,2.9591,2.6078,0.3919,0.61047,-0.2,2.933,2.1476,0.38579,0.67323,-0.2,2.9115,1.9942,0.37906,0.72457,-0.2
3.0803,3.3748,0.41078,0.38796,3.0465,3.2214,0.4069,0.44501,-0.2,3.0143,2.9146,0.40245,0.50207,-0.2,2.9852,2.6078,0.39743,0.55341,-0.2,2.9591,2.6078,0.3919,0.61047,-0.2,2.933,2.1476,0.38579,0.67323,-0.2
