x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-2.7903,1.2272,-0.15119,-0.83297,-2.8025,1.2272,-0.14286,-0.81015,-0.2,-2.8148,1.3806,-0.13476,-0.78733,-0.2,-2.8286,1.2272,-0.12689,-0.77022,-0.2,-2.8409,1.3806,-0.11918,-0.74169,-0.2,-2.8547,1.3806,-0.11177,-0.72457,-0.2
-2.778,1.2272,-0.15975,-0.85579,-2.7903,1.2272,-0.15119,-0.83297,-0.2,-2.8025,1.2272,-0.14286,-0.81015,-0.2,-2.8148,1.3806,-0.13476,-0.78733,-0.2,-2.8286,1.2272,-0.12689,-0.77022,-0.2,-2.8409,1.3806,-0.11918,-0.74169,-0.2
-2.7673,1.0738,-0.16848,-0.87291,-2.778,1.2272,-0.15975,-0.85579,-0.2,-2.7903,1.2272,-0.15119,-0.83297,-0.2,-2.8025,1.2272,-0.14286,-0.81015,-0.2,-2.8148,1.3806,-0.13476,-0.78733,-0.2,-2.8286,1.2272,-0.12689,-0.77022,-0.2
-2.7565,1.0738,-0.17749,-0.90144,-2.7673,1.0738,-0.16848,-0.87291,-0.2,-2.778,1.2272,-0.15975,-0.85579,-0.2,-2.7903,1.2272,-0.15119,-0.83297,-0.2,-2.8025,1.2272,-0.14286,-0.81015,-0.2,-2.8148,1.3806,-0.13476,-0.78733,-0.2
-2.7458,1.0738,-0.18668,-0.91855,-2.7565,1.0738,-0.17749,-0.90144,-0.2,-2.7673,1.0738,-0.16848,-0.87291,-0.2,-2.778,1.2272,-0.15975,-0.85579,-0.2,-2.7903,1.2272,-0.15119,-0.83297,-0.2,-2.8025,1.2272,-0.14286,-0.81015,-0.2
-2.7366,0.9204,-0.19609,-0.94137,-2.7458,1.0738,-0.18668,-0.91855,-0.2,-2.7565,1.0738,-0.17749,-0.90144,-0.2,-2.7673,1.0738,-0.16848,-0.87291,-0.2,-2.778,1.2272,-0.15975,-0.85579,-0.2,-2.7903,1.2272,-0.15119,-0.83297,-0.2
-2.7274,0.9204,-0.20573,-0.9642,-2.7366,0.9204,-0.19609,-0.94137,-0.2,-2.7458,1.0738,-0.18668,-0.91855,-0.2,-2.7565,1.0738,-0.17749,-0.90144,-0.2,-2.7673,1.0738,-0.16848,-0.87291,-0.2,-2.778,1.2272,-0.15975,-0.85579,-0.2
-2.7197,0.767,-0.21555,-0.98131,-2.7274,0.9204,-0.20573,-0.9642,-0.2,-2.7366,0.9204,-0.19609,-0.94137,-0.2,-2.7458,1.0738,-0.18668,-0.91855,-0.2,-2.7565,1.0738,-0.17749,-0.90144,-0.2,-2.7673,1.0738,-0.16848,-0.87291,-0.2
-2.712,0.767,-0.22564,-1.0098,-2.7197,0.767,-0.21555,-0.98131,-0.2,-2.7274,0.9204,-0.20573,-0.9642,-0.2,-2.7366,0.9204,-0.19609,-0.94137,-0.2,-2.7458,1.0738,-0.18668,-0.91855,-0.2,-2.7565,1.0738,-0.17749,-0.90144,-0.2
-2.7044,0.767,-0.23591,-1.027,-2.712,0.767,-0.22564,-1.0098,-0.2,-2.7197,0.767,-0.21555,-0.98131,-0.2,-2.7274,0.9204,-0.20573,-0.9642,-0.2,-2.7366,0.9204,-0.19609,-0.94137,-0.2,-2.7458,1.0738,-0.18668,-0.91855,-0.2
-2.6982,0.6136,-0.24635,-1.0441,-2.7044,0.767,-0.23591,-1.027,-0.2,-2.712,0.767,-0.22564,-1.0098,-0.2,-2.7197,0.767,-0.21555,-0.98131,-0.2,-2.7274,0.9204,-0.20573,-0.9642,-0.2,-2.7366,0.9204,-0.19609,-0.94137,-0.2
-2.6936,0.4602,-0.25708,-1.0726,-2.6982,0.6136,-0.24635,-1.0441,-0.2,-2.7044,0.767,-0.23591,-1.027,-0.2,-2.712,0.767,-0.22564,-1.0098,-0.2,-2.7197,0.767,-0.21555,-0.98131,-0.2,-2.7274,0.9204,-0.20573,-0.9642,-0.2
