x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
2.8364,-0.1534,0.17886,0.71887,2.8379,-0.4602,0.17167,0.70175,0.15708,2.8425,-0.3068,0.16465,0.69034,0.1542,2.8456,-0.4602,0.15775,0.67893,0.1542
2.8333,-0.3068,0.18616,0.73028,2.8364,-0.1534,0.17886,0.71887,0.15708,2.8379,-0.4602,0.17167,0.70175,0.15708,2.8425,-0.3068,0.16465,0.69034,0.1542
2.8318,-0.1534,0.19364,0.74739,2.8333,-0.3068,0.18616,0.73028,0.15708,2.8364,-0.1534,0.17886,0.71887,0.15708,2.8379,-0.4602,0.17167,0.70175,0.15708
2.8302,-0.1534,0.20123,0.7588,2.8318,-0.1534,0.19364,0.74739,0.15708,2.8333,-0.3068,0.18616,0.73028,0.15708,2.8364,-0.1534,0.17886,0.71887,0.15708
2.8302,0,0.20893,0.77022,2.8302,-0.1534,0.20123,0.7588,0.15708,2.8318,-0.1534,0.19364,0.74739,0.15708,2.8333,-0.3068,0.18616,0.73028,0.15708
2.8302,0,0.2168,0.78733,2.8302,0,0.20893,0.77022,0.15708,2.8302,-0.1534,0.20123,0.7588,0.15708,2.8318,-0.1534,0.19364,0.74739,0.15708
2.8302,0,0.22479,0.79874,2.8302,0,0.2168,0.78733,0.15708,2.8302,0,0.20893,0.77022,0.15708,2.8302,-0.1534,0.20123,0.7588,0.15708
2.8318,0.1534,0.23289,0.81015,2.8302,0,0.22479,0.79874,0.15708,2.8302,0,0.2168,0.78733,0.15708,2.8302,0,0.20893,0.77022,0.15708
2.8333,0.1534,0.24116,0.82727,2.8318,0.1534,0.23289,0.81015,0.15708,2.8302,0,0.22479,0.79874,0.15708,2.8302,0,0.2168,0.78733,0.15708
2.8364,0.3068,0.24961,0.84438,2.8333,0.1534,0.24116,0.82727,0.15708,2.8318,0.1534,0.23289,0.81015,0.15708,2.8302,0,0.22479,0.79874,0.15708
2.8379,0.1534,0.25816,0.8558,2.8364,0.3068,0.24961,0.84438,0.15708,2.8333,0.1534,0.24116,0.82727,0.15708,2.8318,0.1534,0.23289,0.81015,0.15708
2.8425,0.4602,0.26684,0.86721,2.8379,0.1534,0.25816,0.8558,0.15708,2.8364,0.3068,0.24961,0.84438,0.15708,2.8333,0.1534,0.24116,0.82727,0.15708
2.8456,0.3068,0.27562,0.87862,2.8425,0.4602,0.26684,0.86721,0.15708,2.8379,0.1534,0.25816,0.8558,0.15708,2.8364,0.3068,0.24961,0.84438,0.15708
2.8502,0.4602,0.28458,0.89573,2.8456,0.3068,0.27562,0.87862,0.15708,2.8425,0.4602,0.26684,0.86721,0.15708,2.8379,0.1534,0.25816,0.8558,0.15708
2.8548,0.4602,0.29371,0.91285,2.8502,0.4602,0.28458,0.89573,0.15708,2.8456,0.3068,0.27562,0.87862,0.15708,2.8425,0.4602,0.26684,0.86721,0.15708
2.8594,0.4602,0.30295,0.92426,2.8548,0.4602,0.29371,0.91285,0.15708,2.8502,0.4602,0.28458,0.89573,0.15708,2.8456,0.3068,0.27562,0.87862,0.15708
2.867,0.767,0.31197,0.90144,2.8594,0.4602,0.30295,0.92426,-0.15293,2.8548,0.4602,0.29371,0.91285,0.15708,2.8502,0.4602,0.28458,0.89573,0.15708
2.8763,0.9204,0.32058,0.8615,2.867,0.767,0.31197,0.90144,-0.15293,2.8594,0.4602,0.30295,0.92426,-0.15293,2.8548,0.4602,0.29371,0.91285,0.15708
2.887,1.0738,0.32868,0.81015,2.8763,0.9204,0.32058,0.8615,-0.15293,2.867,0.767,0.31197,0.90144,-0.15293,2.8594,0.4602,0.30295,0.92426,-0.15293
2.9008,1.3806,0.33633,0.76451,2.887,1.0738,0.32868,0.81015,-0.15293,2.8763,0.9204,0.32058,0.8615,-0.15293,2.867,0.767,0.31197,0.90144,-0.15293
2.9161,1.534,0.34352,0.71887,2.9008,1.3806,0.33633,0.76451,-0.15293,2.887,1.0738,0.32868,0.81015,-0.15293,2.8763,0.9204,0.32058,0.8615,-0.15293
2.9345,1.8408,0.35025,0.67323,2.9161,1.534,0.34352,0.71887,-0.15293,2.9008,1.3806,0.33633,0.76451,-0.15293,2.887,1.0738,0.32868,0.81015,-0.15293
2.956,2.1476,0.35641,0.61617,2.9345,1.8408,0.35025,0.67323,-0.2,2.9161,1.534,0.34352,0.71887,-0.15293,2.9008,1.3806,0.33633,0.76451,-0.15293
2.9775,2.1476,0.36206,0.56482,2.956,2.1476,0.35641,0.61617,-0.2,2.9345,1.8408,0.35025,0.67323,-0.2,2.9161,1.534,0.34352,0.71887,-0.15293
3.0036,2.6078,0.36708,0.50207,2.9775,2.1476,0.36206,0.56482,-0.2,2.956,2.1476,0.35641,0.61617,-0.2,2.9345,1.8408,0.35025,0.67323,-0.2
