x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
2.7428,-0.1534,0.28646,1.0555,2.7443,-0.3068,0.27591,1.0384,0.16486,2.7474,-0.3068,0.26552,1.0212,0.16845,2.7505,-0.3068,0.25531,1.0098,0.17186
2.7428,0,0.29713,1.0669,2.7428,-0.1534,0.28646,1.0555,0.1611,2.7443,-0.3068,0.27591,1.0384,0.16486,2.7474,-0.3068,0.26552,1.0212,0.16845
2.7428,0,0.30797,1.084,2.7428,0,0.29713,1.0669,0.15716,2.7428,-0.1534,0.28646,1.0555,0.1611,2.7443,-0.3068,0.27591,1.0384,0.16486
2.7428,0,0.31887,1.0897,2.7428,0,0.30797,1.084,0.15306,2.7428,0,0.29713,1.0669,0.15716,2.7428,-0.1534,0.28646,1.0555,0.1611
2.7443,0.1534,0.32994,1.1068,2.7428,0,0.31887,1.0897,0.14879,2.7428,0,0.30797,1.084,0.15306,2.7428,0,0.29713,1.0669,0.15716
2.7474,0.3068,0.34112,1.1182,2.7443,0.1534,0.32994,1.1068,0.14436,2.7428,0,0.31887,1.0897,0.14879,2.7428,0,0.30797,1.084,0.15306
2.752,0.4602,0.35242,1.1296,2.7474,0.3068,0.34112,1.1182,0.13977,2.7443,0.1534,0.32994,1.1068,0.14436,2.7428,0,0.31887,1.0897,0.14879
2.7566,0.4602,0.36348,1.1068,2.752,0.4602,0.35242,1.1296,-0.2,2.7474,0.3068,0.34112,1.1182,0.13977,2.7443,0.1534,0.32994,1.1068,0.14436
2.7658,0.9204,0.37393,1.0441,2.7566,0.4602,0.36348,1.1068,-0.2,2.752,0.4602,0.35242,1.1296,-0.2,2.7474,0.3068,0.34112,1.1182,0.13977
2.7765,1.0738,0.38385,0.99272,2.7658,0.9204,0.37393,1.0441,-0.2,2.7566,0.4602,0.36348,1.1068,-0.2,2.752,0.4602,0.35242,1.1296,-0.2
2.7919,1.534,0.39315,0.92996,2.7765,1.0738,0.38385,0.99272,-0.2,2.7658,0.9204,0.37393,1.0441,-0.2,2.7566,0.4602,0.36348,1.1068,-0.2
2.8088,1.6874,0.40194,0.87862,2.7919,1.534,0.39315,0.92996,-0.2,2.7765,1.0738,0.38385,0.99272,-0.2,2.7658,0.9204,0.37393,1.0441,-0.2
2.8287,1.9942,0.41015,0.82156,2.8088,1.6874,0.40194,0.87862,-0.2,2.7919,1.534,0.39315,0.92996,-0.2,2.7765,1.0738,0.38385,0.99272,-0.2
2.8517,2.301,0.41774,0.7588,2.8287,1.9942,0.41015,0.82156,-0.2,2.8088,1.6874,0.40194,0.87862,-0.2,2.7919,1.534,0.39315,0.92996,-0.2
2.8763,2.4544,0.42482,0.70746,2.8517,2.301,0.41774,0.7588,-0.2,2.8287,1.9942,0.41015,0.82156,-0.2,2.8088,1.6874,0.40194,0.87862,-0.2
2.9054,2.9146,0.43132,0.6504,2.8763,2.4544,0.42482,0.70746,-0.2,2.8517,2.301,0.41774,0.7588,-0.2,2.8287,1.9942,0.41015,0.82156,-0.2
2.9361,3.068,0.4372,0.58765,2.9054,2.9146,0.43132,0.6504,-0.2,2.8763,2.4544,0.42482,0.70746,-0.2,2.8517,2.301,0.41774,0.7588,-0.2
2.9683,3.2214,0.44256,0.5363,2.9361,3.068,0.4372,0.58765,-0.2,2.9054,2.9146,0.43132,0.6504,-0.2,2.8763,2.4544,0.42482,0.70746,-0.2
3.0036,3.5282,0.44735,0.47925,2.9683,3.2214,0.44256,0.5363,-0.2,2.9361,3.068,0.4372,0.58765,-0.2,2.9054,2.9146,0.43132,0.6504,-0.2
3.0419,3.835,0.45157,0.42219,3.0036,3.5282,0.44735,0.47925,-0.2,2.9683,3.2214,0.44256,0.5363,-0.2,2.9361,3.068,0.4372,0.58765,-0.2
3.0818,3.9884,0.45523,0.36514,3.0419,3.835,0.45157,0.42219,-0.2,3.0036,3.5282,0.44735,0.47925,-0.2,2.9683,3.2214,0.44256,0.5363,-0.2
3.1232,4.1418,0.45836,0.31379,3.0818,3.9884,0.45523,0.36514,-0.2,3.0419,3.835,0.45157,0.42219,-0.2,3.0036,3.5282,0.44735,0.47925,-0.2
-3.1155,4.4486,0.46093,0.25674,3.1232,4.1418,0.45836,0.31379,-0.2,3.0818,3.9884,0.45523,0.36514,-0.2,3.0419,3.835,0.45157,0.42219,-0.2
-3.071,4.4486,0.46293,0.19969,-3.1155,4.4486,0.46093,0.25674,-0.2,3.1232,4.1418,0.45836,0.31379,-0.2,3.0818,3.9884,0.45523,0.36514,-0.2
-3.025,4.602,0.46447,0.15404,-3.071,4.4486,0.46293,0.19969,-0.2,-3.1155,4.4486,0.46093,0.25674,-0.2,3.1232,4.1418,0.45836,0.31379,-0.2
