x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
2.9253,-1.073787,-0.13211,-0.60079,2.936,-1.073787,-0.1261,-0.67812,0.3079,2.9468,-1.073787,-0.11932,-0.60079,0.30113,2.9575,-1.073787,-0.11331,-0.61269,0.29432,2.9683,-1.073787,-0.10719,-0.57699,0.28747,2.979,-1.073787,-0.10142,-0.5651,0.28057
2.9161,-0.9203885,-0.13877,-0.66622,2.9253,-1.073787,-0.13211,-0.60079,0.31462,2.936,-1.073787,-0.1261,-0.67812,0.3079,2.9468,-1.073787,-0.11932,-0.60079,0.30113,2.9575,-1.073787,-0.11331,-0.61269,0.29432,2.9683,-1.073787,-0.10719,-0.57699,0.28747
2.9054,-1.073787,-0.1455,-0.67217,2.9161,-0.9203885,-0.13877,-0.66622,0.32129,2.9253,-1.073787,-0.13211,-0.60079,0.31462,2.936,-1.073787,-0.1261,-0.67812,0.3079,2.9468,-1.073787,-0.11932,-0.60079,0.30113,2.9575,-1.073787,-0.11331,-0.61269,0.29432
2.8962,-0.9203885,-0.15234,-0.68407,2.9054,-1.073787,-0.1455,-0.67217,0.32792,2.9161,-0.9203885,-0.13877,-0.66622,0.32129,2.9253,-1.073787,-0.13211,-0.60079,0.31462,2.936,-1.073787,-0.1261,-0.67812,0.3079,2.9468,-1.073787,-0.11932,-0.60079,0.30113
2.8854,-1.073787,-0.15947,-0.71381,2.8962,-0.9203885,-0.15234,-0.68407,0.33449,2.9054,-1.073787,-0.1455,-0.67217,0.32792,2.9161,-0.9203885,-0.13877,-0.66622,0.32129,2.9253,-1.073787,-0.13211,-0.60079,0.31462,2.936,-1.073787,-0.1261,-0.67812,0.3079
2.8762,-0.9203885,-0.16673,-0.7257,2.8854,-1.073787,-0.15947,-0.71381,0.34101,2.8962,-0.9203885,-0.15234,-0.68407,0.33449,2.9054,-1.073787,-0.1455,-0.67217,0.32792,2.9161,-0.9203885,-0.13877,-0.66622,0.32129,2.9253,-1.073787,-0.13211,-0.60079,0.31462
2.867,-0.9203885,-0.17452,-0.77924,2.8762,-0.9203885,-0.16673,-0.7257,0.34748,2.8854,-1.073787,-0.15947,-0.71381,0.34101,2.8962,-0.9203885,-0.15234,-0.68407,0.33449,2.9054,-1.073787,-0.1455,-0.67217,0.32792,2.9161,-0.9203885,-0.13877,-0.66622,0.32129
2.8593,-0.7669904,-0.18208,-0.75545,2.867,-0.9203885,-0.17452,-0.77924,0.35389,2.8762,-0.9203885,-0.16673,-0.7257,0.34748,2.8854,-1.073787,-0.15947,-0.71381,0.34101,2.8962,-0.9203885,-0.15234,-0.68407,0.33449,2.9054,-1.073787,-0.1455,-0.67217,0.32792
2.8517,-0.7669904,-0.18928,-0.71976,2.8593,-0.7669904,-0.18208,-0.75545,0.36025,2.867,-0.9203885,-0.17452,-0.77924,0.35389,2.8762,-0.9203885,-0.16673,-0.7257,0.34748,2.8854,-1.073787,-0.15947,-0.71381,0.34101,2.8962,-0.9203885,-0.15234,-0.68407,0.33449
2.8425,-0.9203885,-0.19772,-0.84467,2.8517,-0.7669904,-0.18928,-0.71976,0.36655,2.8593,-0.7669904,-0.18208,-0.75545,0.36025,2.867,-0.9203885,-0.17452,-0.77924,0.35389,2.8762,-0.9203885,-0.16673,-0.7257,0.34748,2.8854,-1.073787,-0.15947,-0.71381,0.34101
2.8363,-0.6135923,-0.20563,-0.79114,2.8425,-0.9203885,-0.19772,-0.84467,0.3728,2.8517,-0.7669904,-0.18928,-0.71976,0.36655,2.8593,-0.7669904,-0.18208,-0.75545,0.36025,2.867,-0.9203885,-0.17452,-0.77924,0.35389,2.8762,-0.9203885,-0.16673,-0.7257,0.34748
2.8302,-0.6135923,-0.21331,-0.76734,2.8363,-0.6135923,-0.20563,-0.79114,0.37898,2.8425,-0.9203885,-0.19772,-0.84467,0.3728,2.8517,-0.7669904,-0.18928,-0.71976,0.36655,2.8593,-0.7669904,-0.18208,-0.75545,0.36025,2.867,-0.9203885,-0.17452,-0.77924,0.35389
2.8225,-0.7669904,-0.22211,-0.88036,2.8302,-0.6135923,-0.21331,-0.76734,0.38511,2.8363,-0.6135923,-0.20563,-0.79114,0.37898,2.8425,-0.9203885,-0.19772,-0.84467,0.3728,2.8517,-0.7669904,-0.18928,-0.71976,0.36655,2.8593,-0.7669904,-0.18208,-0.75545,0.36025
2.8179,-0.4601942,-0.23002,-0.79114,2.8225,-0.7669904,-0.22211,-0.88036,0.39117,2.8302,-0.6135923,-0.21331,-0.76734,0.38511,2.8363,-0.6135923,-0.20563,-0.79114,0.37898,2.8425,-0.9203885,-0.19772,-0.84467,0.3728,2.8517,-0.7669904,-0.18928,-0.71976,0.36655
2.8133,-0.4601942,-0.23918,-0.91605,2.8179,-0.4601942,-0.23002,-0.79114,0.39717,2.8225,-0.7669904,-0.22211,-0.88036,0.39117,2.8302,-0.6135923,-0.21331,-0.76734,0.38511,2.8363,-0.6135923,-0.20563,-0.79114,0.37898,2.8425,-0.9203885,-0.19772,-0.84467,0.3728
2.8087,-0.4601942,-0.24727,-0.80898,2.8133,-0.4601942,-0.23918,-0.91605,0.40311,2.8179,-0.4601942,-0.23002,-0.79114,0.39717,2.8225,-0.7669904,-0.22211,-0.88036,0.39117,2.8302,-0.6135923,-0.21331,-0.76734,0.38511,2.8363,-0.6135923,-0.20563,-0.79114,0.37898
2.8057,-0.3067962,-0.25596,-0.86847,2.8087,-0.4601942,-0.24727,-0.80898,0.40898,2.8133,-0.4601942,-0.23918,-0.91605,0.40311,2.8179,-0.4601942,-0.23002,-0.79114,0.39717,2.8225,-0.7669904,-0.22211,-0.88036,0.39117,2.8302,-0.6135923,-0.21331,-0.76734,0.38511
2.8026,-0.3067962,-0.265,-0.90416,2.8057,-0.3067962,-0.25596,-0.86847,0.41478,2.8087,-0.4601942,-0.24727,-0.80898,0.40898,2.8133,-0.4601942,-0.23918,-0.91605,0.40311,2.8179,-0.4601942,-0.23002,-0.79114,0.39717,2.8225,-0.7669904,-0.22211,-0.88036,0.39117
