x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-2.1123,7.516506,0.46065,0.22604,-2.1875,8.74369,0.45839,0.26768,-0.07403,-2.2749,8.436894,0.45571,0.26768,-0.07403,-2.3593,8.130098,0.45303,0.26768,-0.07403,-2.4406,9.203885,0.45036,0.29742,-0.07403,-2.5326,9.664079,0.44738,0.32121,-0.07403
-2.0341,7.823302,0.46303,0.23794,-2.1123,7.516506,0.46065,0.22604,-0.07403,-2.1875,8.74369,0.45839,0.26768,-0.07403,-2.2749,8.436894,0.45571,0.26768,-0.07403,-2.3593,8.130098,0.45303,0.26768,-0.07403,-2.4406,9.203885,0.45036,0.29742,-0.07403
-1.9635,7.056312,0.46511,0.20819,-2.0341,7.823302,0.46303,0.23794,-0.07403,-2.1123,7.516506,0.46065,0.22604,-0.07403,-2.1875,8.74369,0.45839,0.26768,-0.07403,-2.2749,8.436894,0.45571,0.26768,-0.07403,-2.3593,8.130098,0.45303,0.26768,-0.07403
-1.8883,7.516506,0.46731,0.22009,-1.9635,7.056312,0.46511,0.20819,-0.07403,-2.0341,7.823302,0.46303,0.23794,-0.07403,-2.1123,7.516506,0.46065,0.22604,-0.07403,-2.1875,8.74369,0.45839,0.26768,-0.07403,-2.2749,8.436894,0.45571,0.26768,-0.07403
-1.8193,6.902914,0.46933,0.20225,-1.8883,7.516506,0.46731,0.22009,-0.07403,-1.9635,7.056312,0.46511,0.20819,-0.07403,-2.0341,7.823302,0.46303,0.23794,-0.07403,-2.1123,7.516506,0.46065,0.22604,-0.07403,-2.1875,8.74369,0.45839,0.26768,-0.07403
-1.7533,6.596117,0.47129,0.1963,-1.8193,6.902914,0.46933,0.20225,-0.07403,-1.8883,7.516506,0.46731,0.22009,-0.07403,-1.9635,7.056312,0.46511,0.20819,-0.07403,-2.0341,7.823302,0.46303,0.23794,-0.07403,-2.1123,7.516506,0.46065,0.22604,-0.07403
-1.6858,6.749515,0.47332,0.20225,-1.7533,6.596117,0.47129,0.1963,-0.07403,-1.8193,6.902914,0.46933,0.20225,-0.07403,-1.8883,7.516506,0.46731,0.22009,-0.07403,-1.9635,7.056312,0.46511,0.20819,-0.07403,-2.0341,7.823302,0.46303,0.23794,-0.07403
-1.6306,5.522331,0.47498,0.16656,-1.6858,6.749515,0.47332,0.20225,-0.07403,-1.7533,6.596117,0.47129,0.1963,-0.07403,-1.8193,6.902914,0.46933,0.20225,-0.07403,-1.8883,7.516506,0.46731,0.22009,-0.07403,-1.9635,7.056312,0.46511,0.20819,-0.07403
-1.5708,5.982525,0.47695,0.1963,-1.6306,5.522331,0.47498,0.16656,-0.07403,-1.6858,6.749515,0.47332,0.20225,-0.07403,-1.7533,6.596117,0.47129,0.1963,-0.07403,-1.8193,6.902914,0.46933,0.20225,-0.07403,-1.8883,7.516506,0.46731,0.22009,-0.07403
-1.5171,5.368933,0.47867,0.1725,-1.5708,5.982525,0.47695,0.1963,-0.07403,-1.6306,5.522331,0.47498,0.16656,-0.07403,-1.6858,6.749515,0.47332,0.20225,-0.07403,-1.7533,6.596117,0.47129,0.1963,-0.07403,-1.8193,6.902914,0.46933,0.20225,-0.07403
