x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
0.68416,-6.1359232,-0.54386,0.083278,0.74551,-6.2893212,-0.54469,0.041639,-1,0.80841,-6.1359232,-0.54511,0,-1,0.86977,-6.7495155,-0.54511,-0.053536,-1
0.6228,-6.1359232,-0.54261,0.12492,0.68416,-6.1359232,-0.54386,0.083278,-1,0.74551,-6.2893212,-0.54469,0.041639,-1,0.80841,-6.1359232,-0.54511,0,-1
0.56144,-6.1359232,-0.54094,0.16656,0.6228,-6.1359232,-0.54261,0.12492,-1,0.68416,-6.1359232,-0.54386,0.083278,-1,0.74551,-6.2893212,-0.54469,0.041639,-1
0.50468,-5.6757289,-0.53904,0.19035,0.56144,-6.1359232,-0.54094,0.16656,-1,0.6228,-6.1359232,-0.54261,0.12492,-1,0.68416,-6.1359232,-0.54386,0.083278,-1
0.44332,-6.1359232,-0.53666,0.23794,0.50468,-5.6757289,-0.53904,0.19035,-1,0.56144,-6.1359232,-0.54094,0.16656,-1,0.6228,-6.1359232,-0.54261,0.12492,-1
0.38503,-5.829127,-0.53404,0.26173,0.44332,-6.1359232,-0.53666,0.23794,-1,0.50468,-5.6757289,-0.53904,0.19035,-1,0.56144,-6.1359232,-0.54094,0.16656,-1
0.32981,-5.5223308,-0.53119,0.28552,0.38503,-5.829127,-0.53404,0.26173,-1,0.44332,-6.1359232,-0.53666,0.23794,-1,0.50468,-5.6757289,-0.53904,0.19035,-1
0.26845,-6.1359232,-0.52774,0.34501,0.32981,-5.5223308,-0.53119,0.28552,-1,0.38503,-5.829127,-0.53404,0.26173,-1,0.44332,-6.1359232,-0.53666,0.23794,-1
0.21476,-5.3689328,-0.52447,0.32716,0.26845,-6.1359232,-0.52774,0.34501,-1,0.32981,-5.5223308,-0.53119,0.28552,-1,0.38503,-5.829127,-0.53404,0.26173,-1
0.15647,-5.829127,-0.52066,0.3807,0.21476,-5.3689328,-0.52447,0.32716,-1,0.26845,-6.1359232,-0.52774,0.34501,-1,0.32981,-5.5223308,-0.53119,0.28552,-1
