x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-2.8409,0.76699,-0.80612,0.755447,-2.8486,0.76699,-0.81368,0.690014,-0.82256,-2.8563,0.920388,-0.82058,0.737602,-0.82872,-2.8655,0.920388,-0.82796,0.642427,-0.84185,-2.8747,0.920388,-0.83438,0.725705,-0.86063,-2.8839,1.07379,-0.84164,0.660272,-0.89218
-2.8333,0.76699,-0.79869,0.74355,-2.8409,0.76699,-0.80612,0.755447,-0.82023,-2.8486,0.76699,-0.81368,0.690014,-0.82256,-2.8563,0.920388,-0.82058,0.737602,-0.82872,-2.8655,0.920388,-0.82796,0.642427,-0.84185,-2.8747,0.920388,-0.83438,0.725705,-0.86063
-2.8271,0.613592,-0.79072,0.797086,-2.8333,0.76699,-0.79869,0.74355,-0.82,-2.8409,0.76699,-0.80612,0.755447,-0.82023,-2.8486,0.76699,-0.81368,0.690014,-0.82256,-2.8563,0.920388,-0.82058,0.737602,-0.82872,-2.8655,0.920388,-0.82796,0.642427,-0.84185
-2.821,0.613592,-0.78322,0.749498,-2.8271,0.613592,-0.79072,0.797086,-0.82,-2.8333,0.76699,-0.79869,0.74355,-0.82,-2.8409,0.76699,-0.80612,0.755447,-0.82023,-2.8486,0.76699,-0.81368,0.690014,-0.82256,-2.8563,0.920388,-0.82058,0.737602,-0.82872
-2.8149,0.613592,-0.77537,0.785189,-2.821,0.613592,-0.78322,0.749498,-0.82,-2.8271,0.613592,-0.79072,0.797086,-0.82,-2.8333,0.76699,-0.79869,0.74355,-0.82,-2.8409,0.76699,-0.80612,0.755447,-0.82023,-2.8486,0.76699,-0.81368,0.690014,-0.82256
-2.8087,0.613592,-0.7674,0.797086,-2.8149,0.613592,-0.77537,0.785189,-0.82,-2.821,0.613592,-0.78322,0.749498,-0.82,-2.8271,0.613592,-0.79072,0.797086,-0.82,-2.8333,0.76699,-0.79869,0.74355,-0.82,-2.8409,0.76699,-0.80612,0.755447,-0.82023
-2.8041,0.460194,-0.75919,0.820879,-2.8087,0.613592,-0.7674,0.797086,-0.82,-2.8149,0.613592,-0.77537,0.785189,-0.82,-2.821,0.613592,-0.78322,0.749498,-0.82,-2.8271,0.613592,-0.79072,0.797086,-0.82,-2.8333,0.76699,-0.79869,0.74355,-0.82
-2.801,0.306796,-0.75104,0.814931,-2.8041,0.460194,-0.75919,0.820879,-0.82,-2.8087,0.613592,-0.7674,0.797086,-0.82,-2.8149,0.613592,-0.77537,0.785189,-0.82,-2.821,0.613592,-0.78322,0.749498,-0.82,-2.8271,0.613592,-0.79072,0.797086,-0.82
-2.7964,0.460194,-0.74271,0.832776,-2.801,0.306796,-0.75104,0.814931,-0.82,-2.8041,0.460194,-0.75919,0.820879,-0.82,-2.8087,0.613592,-0.7674,0.797086,-0.82,-2.8149,0.613592,-0.77537,0.785189,-0.82,-2.821,0.613592,-0.78322,0.749498,-0.82
-2.7934,0.306796,-0.73421,0.850621,-2.7964,0.460194,-0.74271,0.832776,-0.82,-2.801,0.306796,-0.75104,0.814931,-0.82,-2.8041,0.460194,-0.75919,0.820879,-0.82,-2.8087,0.613592,-0.7674,0.797086,-0.82,-2.8149,0.613592,-0.77537,0.785189,-0.82
-2.7918,0.153398,-0.7257,0.850621,-2.7934,0.306796,-0.73421,0.850621,-0.82,-2.7964,0.460194,-0.74271,0.832776,-0.82,-2.801,0.306796,-0.75104,0.814931,-0.82,-2.8041,0.460194,-0.75919,0.820879,-0.82,-2.8087,0.613592,-0.7674,0.797086,-0.82
-2.7903,0.153398,-0.7172,0.850621,-2.7918,0.153398,-0.7257,0.850621,-0.82,-2.7934,0.306796,-0.73421,0.850621,-0.82,-2.7964,0.460194,-0.74271,0.832776,-0.82,-2.801,0.306796,-0.75104,0.814931,-0.82,-2.8041,0.460194,-0.75919,0.820879,-0.82
-2.7903,0,-0.70851,0.868466,-2.7903,0.153398,-0.7172,0.850621,-0.82,-2.7918,0.153398,-0.7257,0.850621,-0.82,-2.7934,0.306796,-0.73421,0.850621,-0.82,-2.7964,0.460194,-0.74271,0.832776,-0.82,-2.801,0.306796,-0.75104,0.814931,-0.82
-2.7888,0.153398,-0.69965,0.886312,-2.7903,0,-0.70851,0.868466,-0.82,-2.7903,0.153398,-0.7172,0.850621,-0.82,-2.7918,0.153398,-0.7257,0.850621,-0.82,-2.7934,0.306796,-0.73421,0.850621,-0.82,-2.7964,0.460194,-0.74271,0.832776,-0.82
-2.7903,-0.153398,-0.69073,0.89226,-2.7888,0.153398,-0.69965,0.886312,-0.82,-2.7903,0,-0.70851,0.868466,-0.82,-2.7903,0.153398,-0.7172,0.850621,-0.82,-2.7918,0.153398,-0.7257,0.850621,-0.82,-2.7934,0.306796,-0.73421,0.850621,-0.82
-2.7903,0,-0.68091,0.981486,-2.7903,-0.153398,-0.69073,0.89226,-0.82,-2.7888,0.153398,-0.69965,0.886312,-0.82,-2.7903,0,-0.70851,0.868466,-0.82,-2.7903,0.153398,-0.7172,0.850621,-0.82,-2.7918,0.153398,-0.7257,0.850621,-0.82
-2.7934,-0.306796,-0.67252,0.838724,-2.7903,0,-0.68091,0.981486,-0.82,-2.7903,-0.153398,-0.69073,0.89226,-0.82,-2.7888,0.153398,-0.69965,0.886312,-0.82,-2.7903,0,-0.70851,0.868466,-0.82,-2.7903,0.153398,-0.7172,0.850621,-0.82
