x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
2.9314,0.61359232,-0.17881,-0.82683,2.9253,0.76699039,-0.17054,-0.89226,0.28325,2.9176,0.61359232,-0.16162,-0.83872,0.28325,2.9115,0.46019424,-0.15323,-0.81493,0.28325
2.9376,0.61359232,-0.18773,-0.89226,2.9314,0.61359232,-0.17881,-0.82683,0.28325,2.9253,0.76699039,-0.17054,-0.89226,0.28325,2.9176,0.61359232,-0.16162,-0.83872,0.28325
2.9452,0.76699039,-0.19713,-0.93985,2.9376,0.61359232,-0.18773,-0.89226,0.28325,2.9314,0.61359232,-0.17881,-0.82683,0.28325,2.9253,0.76699039,-0.17054,-0.89226,0.28325
2.9529,0.76699039,-0.20575,-0.86252,2.9452,0.76699039,-0.19713,-0.93985,0.28325,2.9376,0.61359232,-0.18773,-0.89226,0.28325,2.9314,0.61359232,-0.17881,-0.82683,0.28325
2.9606,0.76699039,-0.21533,-0.95769,2.9529,0.76699039,-0.20575,-0.86252,0.28325,2.9452,0.76699039,-0.19713,-0.93985,0.28325,2.9376,0.61359232,-0.18773,-0.89226,0.28325
2.9683,0.76699039,-0.22431,-0.89821,2.9606,0.76699039,-0.21533,-0.95769,0.28325,2.9529,0.76699039,-0.20575,-0.86252,0.28325,2.9452,0.76699039,-0.19713,-0.93985,0.28325
2.9759,0.76699039,-0.23377,-0.9458,2.9683,0.76699039,-0.22431,-0.89821,0.28325,2.9606,0.76699039,-0.21533,-0.95769,0.28325,2.9529,0.76699039,-0.20575,-0.86252,0.28325
2.9851,0.92038847,-0.24335,-0.95769,2.9759,0.76699039,-0.23377,-0.9458,0.28325,2.9683,0.76699039,-0.22431,-0.89821,0.28325,2.9606,0.76699039,-0.21533,-0.95769,0.28325
2.9928,0.76699039,-0.25298,-0.96364,2.9851,0.92038847,-0.24335,-0.95769,0.28325,2.9759,0.76699039,-0.23377,-0.9458,0.28325,2.9683,0.76699039,-0.22431,-0.89821,0.28325
3.002,0.92038847,-0.26292,-0.99338,2.9928,0.76699039,-0.25298,-0.96364,0.28325,2.9851,0.92038847,-0.24335,-0.95769,0.28325,2.9759,0.76699039,-0.23377,-0.9458,0.28325
3.0112,0.92038847,-0.27243,-0.95174,3.002,0.92038847,-0.26292,-0.99338,0.28325,2.9928,0.76699039,-0.25298,-0.96364,0.28325,2.9851,0.92038847,-0.24335,-0.95769,0.28325
3.0204,0.92038847,-0.28231,-0.98743,3.0112,0.92038847,-0.27243,-0.95174,0.28325,3.002,0.92038847,-0.26292,-0.99338,0.28325,2.9928,0.76699039,-0.25298,-0.96364,0.28325
3.0296,0.92038847,-0.29236,-1.0053,3.0204,0.92038847,-0.28231,-0.98743,0.28325,3.0112,0.92038847,-0.27243,-0.95174,0.28325,3.002,0.92038847,-0.26292,-0.99338,0.28325
3.0388,0.92038847,-0.30247,-1.0112,3.0296,0.92038847,-0.29236,-1.0053,0.28325,3.0204,0.92038847,-0.28231,-0.98743,0.28325,3.0112,0.92038847,-0.27243,-0.95174,0.28325
3.0465,0.76699039,-0.3127,-1.0231,3.0388,0.92038847,-0.30247,-1.0112,0.28325,3.0296,0.92038847,-0.29236,-1.0053,0.28325,3.0204,0.92038847,-0.28231,-0.98743,0.28325
3.0572,1.0737866,-0.323,-1.0291,3.0465,0.76699039,-0.3127,-1.0231,0.28325,3.0388,0.92038847,-0.30247,-1.0112,0.28325,3.0296,0.92038847,-0.29236,-1.0053,0.28325
3.0664,0.92038847,-0.33382,-1.0826,3.0572,1.0737866,-0.323,-1.0291,0.28325,3.0465,0.76699039,-0.3127,-1.0231,0.28325,3.0388,0.92038847,-0.30247,-1.0112,0.28325
3.0741,0.76699039,-0.34387,-1.0053,3.0664,0.92038847,-0.33382,-1.0826,0.28325,3.0572,1.0737866,-0.323,-1.0291,0.28325,3.0465,0.76699039,-0.3127,-1.0231,0.28325
